"geoid","variable","annual_mean"
"01001","ppt",118.025526682536
"01001","solclear",22.2763877709707
"01001","solslope",15.6375716129939
"01001","soltotal",15.6281618277232
"01001","soltrans",0.691113551457723
"01001","tdmean",12.322238723437
"01001","tmax",24.1256577173869
"01001","tmean",18.0184438625971
"01001","tmin",11.9113647639751
"01001","vpdmax",17.0278716484706
"01001","vpdmin",0.915961767236392
"01003","ppt",141.363609313965
"01003","solclear",22.643180847168
"01003","solslope",16.2840051651001
"01003","soltotal",16.2847305138906
"01003","soltrans",0.713664879401525
"01003","tdmean",14.2920428514481
"01003","tmax",25.0346807638804
"01003","tmean",19.3938155968984
"01003","tmin",13.7530838251114
"01003","vpdmax",16.1583902835846
"01003","vpdmin",0.776762291789055
"01005","ppt",114.540017445882
"01005","solclear",22.4492774009705
"01005","solslope",15.9813466072083
"01005","soltotal",15.9841194947561
"01005","soltrans",0.702726940313975
"01005","tdmean",12.5606162349383
"01005","tmax",24.7620395024618
"01005","tmean",18.3507350285848
"01005","tmin",11.939564883709
"01005","vpdmax",18.2057370344798
"01005","vpdmin",0.736675009131432
"01007","ppt",119.315008163452
"01007","solclear",22.1705675919851
"01007","solslope",15.4668527444204
"01007","soltotal",15.4654246966044
"01007","soltrans",0.684439981977145
"01007","tdmean",11.8500137031078
"01007","tmax",24.0059935251872
"01007","tmean",17.5444419781367
"01007","tmin",11.0830255796512
"01007","vpdmax",17.3895988066991
"01007","vpdmin",0.652794659137726
"01009","ppt",123.530761082967
"01009","solclear",22.017723719279
"01009","solslope",15.0747187137604
"01009","soltotal",15.0890825986862
"01009","soltrans",0.673061822851499
"01009","tdmean",10.7718923439582
"01009","tmax",22.2111273606618
"01009","tmean",16.1473610401154
"01009","tmin",10.0837275311351
"01009","vpdmax",15.1873625119527
"01009","vpdmin",0.689212421576182
"01011","ppt",115.107453028361
"01011","solclear",22.3965601126353
"01011","solslope",15.9192552566528
"01011","soltotal",15.9253501097361
"01011","soltrans",0.701458911101023
"01011","tdmean",12.2180060545603
"01011","tmax",24.3646898269653
"01011","tmean",17.9580566088359
"01011","tmin",11.5515587727229
"01011","vpdmax",17.6556881268819
"01011","vpdmin",0.730240717530251
"01013","ppt",123.929635365804
"01013","solclear",22.4550862312317
"01013","solslope",16.0707748730977
"01013","soltotal",16.0711050033569
"01013","soltrans",0.7078913996617
"01013","tdmean",12.6359857122103
"01013","tmax",24.8251091639201
"01013","tmean",18.3472063541412
"01013","tmin",11.869437456131
"01013","vpdmax",18.147075732549
"01013","vpdmin",0.773021544019381
"01015","ppt",116.711158752441
"01015","solclear",22.0498263041178
"01015","solslope",15.1089856227239
"01015","soltotal",15.1195336580276
"01015","soltrans",0.673993537823359
"01015","tdmean",10.8003473033508
"01015","tmax",22.7077624003092
"01015","tmean",16.2841390768687
"01015","tmin",9.86064901202917
"01015","vpdmax",15.8141922950745
"01015","vpdmin",0.56405258923769
"01017","ppt",114.209562937419
"01017","solclear",22.2707760334015
"01017","solslope",15.7526958386103
"01017","soltotal",15.7542270421982
"01017","soltrans",0.696632494529088
"01017","tdmean",11.386006295681
"01017","tmax",23.5166708628337
"01017","tmean",16.9987959861755
"01017","tmin",10.4810549418132
"01017","vpdmax",16.7578866481781
"01017","vpdmin",0.539613366127014
"01019","ppt",115.404628117879
"01019","solclear",21.9501434961955
"01019","solslope",15.2575341860453
"01019","soltotal",15.2564948002497
"01019","soltrans",0.682228823502859
"01019","tdmean",10.2810004955779
"01019","tmax",22.335249821345
"01019","tmean",15.8613900343577
"01019","tmin",9.38766292234262
"01019","vpdmax",15.8938058614731
"01019","vpdmin",0.56827682753404
"01021","ppt",118.691310882568
"01021","solclear",22.2389311790466
"01021","solslope",15.568390528361
